Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Vigra;SN60990;15.10.2014;0
Vigra;SN60990;16.10.2014;0
Vigra;SN60990;17.10.2014;0
Vigra;SN60990;18.10.2014;0
Vigra;SN60990;19.10.2014;6
Vigra;SN60990;20.10.2014;17,4
Vigra;SN60990;21.10.2014;5,3
Vigra;SN60990;22.10.2014;3,2
Vigra;SN60990;23.10.2014;5,4
Vigra;SN60990;24.10.2014;17,2
Vigra;SN60990;25.10.2014;1,6
Vigra;SN60990;26.10.2014;3,7
Vigra;SN60990;27.10.2014;42,7
Vigra;SN60990;28.10.2014;47,3
Vigra;SN60990;29.10.2014;30,8
Vigra;SN60990;30.10.2014;3
Vigra;SN60990;31.10.2014;0,5
Vigra;SN60990;01.11.2014;5,4
Vigra;SN60990;02.11.2014;13
Vigra;SN60990;03.11.2014;21,6
Vigra;SN60990;04.11.2014;2,2
Vigra;SN60990;05.11.2014;4,5
Vigra;SN60990;06.11.2014;0
Vigra;SN60990;07.11.2014;0
Vigra;SN60990;08.11.2014;0
Vigra;SN60990;09.11.2014;0,4
Vigra;SN60990;10.11.2014;6
Vigra;SN60990;11.11.2014;5
Vigra;SN60990;12.11.2014;0,2
Vigra;SN60990;13.11.2014;0,1
Vigra;SN60990;14.11.2014;0,2
Vigra;SN60990;15.11.2014;0
Vigra;SN60990;16.11.2014;0
Vigra;SN60990;17.11.2014;0
Vigra;SN60990;18.11.2014;0
Vigra;SN60990;19.11.2014;0
Vigra;SN60990;20.11.2014;0,1
Vigra;SN60990;21.11.2014;0,1
Vigra;SN60990;22.11.2014;0
Vigra;SN60990;23.11.2014;0,2
Vigra;SN60990;24.11.2014;16
Vigra;SN60990;25.11.2014;15,5
Vigra;SN60990;26.11.2014;1,3
